youtube_id,status
QWepLWTflW8,1
fpE3kI1HOWQ,1
1JyApnR4o9U,0
dkB5SsVVlOI,0
lPe61El1_3E,1
_g9RI0GgRIQ,1
1U_GoiFy6kw,0
iMWVySwlzxg,1
irqsrwc7C0g,1
eXAvTZlmYF0,0
1ve57l3c19g,1
VevqDJM8KH0,1
bANgFADltvw,1
7zDmlkn1gbQ,1
0C6nvNlVx1A,1
kplFGDHuYy4,1
QpBfwsw4OaE,0
r-Pl3TQJqhE,0
EEVcrvlYO-w,1
QrdlGPzkMAs,1
d8Ff_W4-4VE,1
TZJCVilXbjQ,1
yJlwArJRkmE,1
7QZB_cbjdM8,1
94AnEUa_z8U,1
MfmOj8Rqcog,1
Fsy3TtA-3NI,0
XQJg_MBHjZU,1
DLuROR8kLy8,1
4Sl4t9JNnuk,1
GwQdBsTpmOM,1
gmgkLvJL4Eg,1
c6GEJoLDcAs,0
rSt1NFGgVUs,1
LLzVqHhi-mQ,1
kT2gnBg_CEU,1
d54tCpCUFAA,1
aOciyf3IBzg,1
JJeNvH2hmPM,1
HvFU1MFkLm4,0
1M6oW6a0iAw,1
xDwT7-3BQ5c,0
8p0YBrmfLyA,1
rZsQJGk__DQ,1
b3z4_gJ5hGU,1
sEuiWLwiSZo,1
rWPCRt-PKAw,1
1mMe-nvLbxI,1
ZS9bJXDlgdM,1
3RhY0Z3FL28,1
p0WBxRosKq4,0
Du9wL74EDZ0,1
wQs3SwCQ15U,1
14Wlst3oFro,1
1uIPM6h1gDg,0
2McaIvOWgEo,1
bLsnl_fdBoI,1
NiOjETWt2wQ,0
eDblDj6BISo,1
53o7_NqrTQA,1
WBMHd6mCSP4,0
0rRKyRJxNRQ,1
F4T2_xFNAqs,1
oyYuYNnSq9E,1
Wuntz3KDIAk,0
Nf5EzJnu2H4,1
IIGAL77OuM0,1
7Lv6KX12Fbs,1
Cn9lFF9eG-E,1
x1srznPx1qA,1
v2pEmWEsmPY,1
f0eTISgJ3Io,1
HdeQ8y5FY5c,1
-Y3tZpAdWTc,1
-ASYRiRflDM,1
DHVyayHXOdY,1
9_hr8oxlRMw,1
AvqjwTQ1Kqk,1
NVbslx3AGQ4,1
99h9RG7Rfp4,0
Jah71XURbIg,1
1O7AX7tqEHE,1
g5nYXCwkuh0,1
M517dGtRF7k,1
AwSaMakzUPw,1
LaYpVhckcL8,0
H3thsAh5j8k,1
oYDde0u4TT4,0
evY1lSaPyjM,1
0hL-fpCsGR8,1
YkX_CTIY2jw,0
uOsxXi-tu_U,0
wWrB-Gbjnik,1
B42mhJ4DY4I,0
LcX1BSUZVpg,0
YG_oxGHXIKI,1
RwWYO4SNHoA,1
g7BPWgjsXSI,1
tpfOhYRYv80,1
5RMx6st2-js,1
7uGg4fUsGx8,1
YOsmy6frNrE,1
ty5exYQi3wg,0
9Lotfqx4Jv8,1
1FyD6bdbtPU,1
1niI0J4kdI4,1
X0FxwPfYz0Q,0
eL25cS0Ang8,1
fUXcjBbULg4,1
Q6kNpNi_iJI,0
tBw_BTLbjJI,1
1m3y_pIJ304,1
k9Ejn8KfegI,1
hiJDbsE_uio,1
rWJz05IlWQ4,1
cPFt_PIaM2c,1
o4Cm2uYymW0,1
GGel7m6Bw9Y,0
2Y41IMoi1TU,1
PHcV9HUfr0c,0
04s96zDt1RE,1
U15kcueM3Og,1
KusSGPyXugE,0
OuLL5R3sb-w,0
rHPTGJpgtFU,0
2KKrcWy--B8,1
8cmSKLfk9VA,0
gIGtDdiHlA8,1
Vt0rz5iPuaA,1
M6gOHxwffBg,0
Nm1zq2ui6K4,1
0WOBWbUzALo,1
XVC6a-ZXJTw,1
sUkZFetWYY0,1
M-VdYzNgtng,0
-yZVme3ToO8,1
9ioRMsPEf8o,1
eZtQn-GAemQ,1
JdfCyow-Tiw,1
eSYNuO9GTU4,1
NW2bqu7URfM,0
Z09MpDVYWSw,1
5uVVWV4FnVU,1
7ikLl_nUM2A,1
tEb_vVT9Cls,1
sua9tcQ14hs,1
0ynuAmC24_Y,0
PuCu1XUGntA,0
Y6TIBzNfWQg,1
C8xkwCMsbUA,1
tfX2C-Zewuo,0
JbNo_tlgYfs,0
tBSbjKyamRo,1
nn-nEk5kpz0,1
AQ0P7R9CfCY,1
6_5QkJsNCho,1
-LjxKR0q7Yo,1
Nv5IE5M1raU,1
3nydBUSR08o,1
YM1fyqzHWLA,1
qI1uVLUSgBc,1
F2zTd_YwTvo,1
4rG1UNzgzBk,1
-c_ctZ4lUCk,1
BaFBFmJG-LI,1
4ybEyyoBxts,1
S2fxN2JZ81A,1
RFAfyPXisjQ,1
1rJLf3JIYtg,1
0FNk4sNdPtQ,1
jbXNiAQHn_A,0
VOVOizcl4Gc,0
yF0WIBF4lBw,1
zLso3zVuBMQ,1
oEtIf_2mzJc,1
SN39w-Bnlgg,1
yFUJ4FYajl0,1
7Xh1IoF_UsY,0
zlN50soLpYg,1
v_Sx3MadgB8,1
BqFJbBzHHs0,1
LmsVo1IixJc,1
8nHwpjCIJqM,0
ZdIN8OEPnQs,1
BPvZa789l5o,1
WDgtm-2aTbg,1
PZ93GNHBHsE,1
BKePhdwuxEg,1
eSBnFu1YnrU,1
2me9RIuMn5w,1
Jc3GBDJ2sK0,1
spu_6dxLcok,0
CB-a6fmj21U,1
gLKQq3umSsk,1
jm73CCe1e4o,1
iTvltyl5bBU,1
Tt9v8E7Owxo,1
mp8chvACVBk,0
0DFBoLZC3Bw,1
uE-l84hG_BE,1
NBRHljOdrh0,1
7DfNc-wxnBM,1
-kO6stiUcsA,1
Cbijjb5aLYo,0
g-3_wlojqxs,1
_DUK8As4pv8,1
al-tdoT3gL8,1
xFkARs9CHaE,0
T3RdfPKtGl8,1
aaU-KRx8Zc8,1
I-wVZuIRTqo,1
_YfbSVO6nz4,0
y22EF_-U-c0,1
hiiXna_kUY0,1
ptiXfr5lJl8,1
avpZbvMyvAc,1
2OhX2TqcKDA,1
lNWV7T5KlRE,1
IaAhl7maKhk,1
r31CW5yuqjw,1
EKdQ1jASEmw,1
Qub35DMB63E,1
a-KQ5h6WmJg,1
KzVgbCFwn0U,1
p2VFT_Aloaw,1
QflHaPOXcA4,1
1vY_vdWWX3k,1
L5-JXPcM3RQ,0
3ZQFpUxopm4,0
xPP7uFHcWZI,1
WfUTDlmLMFk,1
Bf4YINfjQaQ,1
cZP3u5XAeHk,0
bQbH32KcjG0,1
LDVGyAUHFlE,1
Cx7ip9cWKJg,1
1nqF0ddDc8I,0
bwqshieCvmg,1
eMURCJgRJYM,1
2CFBewOReY8,0
lgyaCwRCrDg,1
EC20KdIDiEY,0
TaOTPhkNkbw,1
pMoxr-jgd58,1
xP7cQnOcU7I,1
yeeDplCqa4g,1
klsfhLJhkeU,1
4IpJTG-R4K8,1
